city,whatsapp,map_lat,map_lng,map_address,catalog_url
Астана,+77066458965,51.113248,71.394320,"Проспект Туран, 55/11, Астана",https://docs.google.com/spreadsheets/d/1EpBXaSdDobu1M5d2U2HNC7lflFHAD0bholw0uIsXoqU/export?format=csv
Тараз,+77066458965,42.902578,71.366398,"Адрес в Таразе",https://docs.google.com/spreadsheets/d/1EpBXaSdDobu1M5d2U2HNC7lflFHAD0bholw0uIsXoqU/export?format=csv&gid=1293713999
